
order-id	customer-firstname	customer-lastname	customer-phone	date-of-purchase	remark

47292fd2-b9b4-4465-8637-48eef12c4b1e	Sherrie	Henry	256-589-3171	2023-08-31T20:26:34+00:00	some simple text
815c9395-d35b-4fe3-9fa6-7fb35c2daa1b	Ronald	Haley	469-519-5571	2023-08-31T18:05:45+00:00	
188ff3e3-94f5-4e3c-b351-4371d395f878	Martha	Rice	904-237-4794	2023-08-31T17:33:59+00:00	
a54f79f6-8286-4705-9de0-9f0f3e302bbf	Erica	Attaway	410-930-0663	2023-08-31T10:21:54+00:00	
dc1b16e7-c8dc-4296-8bbe-30532dcad045	Nanette	Teran	410-350-3954	2023-08-31T09:46:12+00:00	
0ba97355-0ab3-4d85-9d6c-e66d1755dc1e	Hector	Frier	361-484-7220	2023-08-31T09:55:35+00:00	
f84416d8-e051-43eb-9ac7-9c6edd6c469e	Stephanie	Zimmerman,	209-874-1605	2023-08-30T21:39:14+00:00	
b605f541-135c-49cc-beeb-ac7129f73014	Garrett	Russell	727-360-1839	2023-08-30T13:20:27+00:00	
7fec6236-8d6c-48df-82d6-22532a325f21	Margaret	Knight	775-418-3551	2023-08-30T11:04:07+00:00	
d8856748-f898-4a99-828b-735ad614614a	Ryann	Curley	303-785-5140	2023-08-30T10:17:15+00:00	

